"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD2",0,2.54356589139142,0.581,0.105,0,"0","CD2"
"CD3D",0,1.85580541312595,0.583,0.126,0,"0","CD3D"
"SPOCK2",0,3.17474204223282,0.542,0.087,0,"0","SPOCK2"
"PTPRC",0,1.70626907881938,0.802,0.348,0,"0","PTPRC"
"TRBC2",0,2.37126126297511,0.563,0.132,0,"0","TRBC2"
"CD7",0,3.39033136406106,0.493,0.077,0,"0","CD7"
"TIGIT",0,2.96383610972574,0.456,0.084,0,"0","TIGIT"
"SARAF",0,1.78334783322166,0.88,0.692,0,"0","SARAF"
"RPS16",0,1.09752468640085,0.995,0.984,0,"0","RPS16"
"RPS27",0,0.876047320935154,0.995,0.989,0,"0","RPS27"
"CTLA4",3.61394723261719e-306,4.46472962342764,0.28,0.019,1.32274082661022e-301,"0","CTLA4"
"KLRB1",4.69729580561239e-301,3.22942295404392,0.324,0.033,1.71925723781219e-296,"0","KLRB1"
"TPT1",1.56900141751799e-300,0.777864859603668,0.997,0.996,5.74270208825758e-296,"0","TPT1"
"TRBC1",2.10978557482146e-295,2.27069085713436,0.476,0.095,7.72202618240402e-291,"0","TRBC1"
"TMSB4X",3.6565356042206e-284,1.00578227097878,0.995,0.964,1.33832859650078e-279,"0","TMSB4X"
"LTB",4.98570450361145e-284,2.94755757069768,0.445,0.092,1.82481770536683e-279,"0","LTB"
"RPL13",1.4468905362826e-277,0.718064368026243,0.997,0.994,5.29576405184795e-273,"0","RPL13"
"RPS29",7.38910899868975e-276,0.868038739364914,0.992,0.959,2.70448778461044e-271,"0","RPS29"
"RPS26",5.20430079554065e-272,0.849843058750462,0.989,0.965,1.90482613417583e-267,"0","RPS26"
"RPL21",1.91699092108438e-259,0.859329815246068,0.99,0.966,7.01637847026093e-255,"0","RPL21"
"CD3E",3.31040255826033e-256,2.23628619579395,0.422,0.083,1.21164044034886e-251,"0","CD3E"
"BATF",8.55271257993661e-253,3.01652239520767,0.416,0.093,3.1303783313826e-248,"0","BATF"
"TRAC",5.68206026890341e-250,2.2597576396563,0.443,0.1,2.07969087902134e-245,"0","TRAC"
"RPS15A",6.80449220243283e-248,0.726160825433392,0.992,0.983,2.49051219101244e-243,"0","RPS15A"
"RPL9",2.66248013703981e-241,0.73032145290288,0.995,0.985,9.7449435495794e-237,"0","RPL9"
"RPS3",1.27783605772157e-239,0.747707129328614,0.992,0.984,4.67700775486671e-235,"0","RPS3"
"CXCR4",2.24939004451827e-239,1.48476290850662,0.787,0.409,8.2329925019413e-235,"0","CXCR4"
"RPS14",3.57985040889972e-239,0.737883114235683,0.992,0.98,1.31026104816139e-234,"0","RPS14"
"RPL34",1.19233017344215e-237,0.777845364621858,0.989,0.969,4.3640476678156e-233,"0","RPL34"
"IL7R",2.28613411134035e-235,2.56507947715792,0.512,0.168,8.36747946091683e-231,"0","IL7R"
