id	filename	md5	size	state
0019c951-16c5-48d0-85c8-58d96b12d330	0019c951-16c5-48d0-85c8-58d96b12d330/ba295155-272e-43eb-9d6a-e4c9c392e68b.rna_seq.augmented_star_gene_counts.tsv	603d5a827abe6b3f4921f12dbcaeb25b	4251623	validated
0022cd20-f64f-4773-b9ff-a3de0b71b259	0022cd20-f64f-4773-b9ff-a3de0b71b259/8d1641ea-7552-4d23-9298-094e0056386a.rna_seq.augmented_star_gene_counts.tsv	7101938d6f12ed28f86bab21ae94e9bc	4248309	validated
02a0b95f-ea0f-4c0d-ba2d-9724ed9ad712	02a0b95f-ea0f-4c0d-ba2d-9724ed9ad712/5fd42405-ebfe-4210-bc2f-d8310e3e14ee.rna_seq.augmented_star_gene_counts.tsv	f8b1e5d2df5c02a8854a53bccae100e4	4246583	validated
04a7cce8-c3b3-4994-9dac-c0e53099f37d	04a7cce8-c3b3-4994-9dac-c0e53099f37d/676cce88-9f6e-4490-8e73-c0e88bd00075.rna_seq.augmented_star_gene_counts.tsv	8bd64566a6e28ef70633a906518ec4b6	4248694	validated
051a1102-a815-4b39-b903-80d8b4a2348f	051a1102-a815-4b39-b903-80d8b4a2348f/7caf8867-7cff-4dbd-b611-4748d86590a8.rna_seq.augmented_star_gene_counts.tsv	99c1cdd68d27572859aa05189515f00d	4253041	validated
055f6138-ea7a-468d-90c2-87a473486867	055f6138-ea7a-468d-90c2-87a473486867/43d15c49-f348-48a8-b00f-7f6a7b605a04.rna_seq.augmented_star_gene_counts.tsv	3f6642204b0eac5512fa19e7d84b5019	4235673	validated
064215bd-9ec9-4a16-8ea2-9c6604156398	064215bd-9ec9-4a16-8ea2-9c6604156398/af83a9af-a11f-4c29-a61f-8f0d2b5868c1.rna_seq.augmented_star_gene_counts.tsv	bfffdb8c2737fa2b2330fd7c474088fe	4253697	validated
0648c6fc-df6d-450a-a5a0-e5655febbdf1	0648c6fc-df6d-450a-a5a0-e5655febbdf1/f532a6be-de3e-420c-960a-23627589e7ad.rna_seq.augmented_star_gene_counts.tsv	e00657cea54665d6777e038af0d8c5f5	4231354	validated
068841a8-af6a-4925-bad0-586005f59521	068841a8-af6a-4925-bad0-586005f59521/f09cc0c7-2896-479b-84db-401f14780092.rna_seq.augmented_star_gene_counts.tsv	24e84b3f1e1c0eca38d049576cd53385	4238099	validated
0a688b9b-06ea-4b83-bfce-9cee0d866a0c	0a688b9b-06ea-4b83-bfce-9cee0d866a0c/b2bcfd01-9662-4730-96de-1e51b4038802.rna_seq.augmented_star_gene_counts.tsv	bad787cba50515b91198b99c393f093b	4230199	validated
